Astellas,1,BO
Astellas,2,BO
Ballroom_6_A,3,BO
Ballroom_6_AB,4,BO
Ballroom_6_AB,5,BO
Ballroom_6_AB,6,BO
Ballroom_6_B,7,BO
Chicago_8,8,BO
Conf_101,9,BO
Conf_102,10,BO
Conf_202,11,BO
Conf_204,12,BO
Conf_204,13,BO
Conf_205,14,BO
Conf_301,15,BO
Conf_302,16,BO
SPKR001,1,SR
SPKR001,2,SR
SPKR001,3,SR
SPKR001,4,SR
SPKR001,5,SR
SPKR001,6,SR
SPKR001,7,SR
SPKR001,8,SR
SPKR001,9,SR
SPKR001,10,SR
